bat_ID	sex	age	DATA	Temp	Rel_Hum	WEIGTHT	ARMLETH	BODY_TEMP	Peak_Freq
FB1212	2	1	9.1	21.8	69.7	18.14	58.2	37.1	68.415
FB1213	2	1	9.1	22.2	68.5	18.95	56.85	36.4	68.1015
FB1214	2	1	9.1	22.1	68.8	20.72	59.87	36.9	68.241
FB1215	1	1	9.1	22.3	67.1	17.82	59.51	35.3	68.6525
FB1216	2	2	9.1	21.6	70.3	23.8	59.76	34.6	68.9445
FB1217	2	1	9.1	21.9	69.6	19.5	59.9	35.6	68.232
FB1218	1	1	9.1	21.9	67.1	19.03	59.51	36	68.4615
FB1219	2	1	9.1	21.6	68.9	20.22	58.27	35.5	68.149
FB1220	1	1	9.1	21.8	68.9	20.1	58.16	35.5	68.212
FB1221	1	1	9.1	21.9	68.9	22.48	58.67	35.2	68.2135
FB1222	2	2	9.1	21.8	69.2	22.55	59.09	36.2	68.5665
FB1223	2	2	9.1	22	68.2	17.86	59.08	36.2	68.3255
FB1224	1	1	9.1	22.4	67.4	20.08	59.86	35.9	68.0725
FB1225	2	1	9.1	22.3	67.7	19.61	59.18	36.4	68.538
FB1226	1	1	9.1	22.4	67.8	19.95	57.28	36.2	NA
FB1227	2	2	9.1	22.5	66.7	25.03	60.01	34.9	68.5605
FB1228	1	1	9.1	22.5	66.9	20.83	59.55	35	68.0665
FB1229	1	2	9.1	22.4	67.3	23.82	58.68	36.2	68.5355
FB1230	1	1	9.1	22.7	66.7	18.85	58.99	36.1	68.335
FB1231	1	1	9.1	22.4	68.7	19.96	58	36.2	68.38
FB1232	2	1	9.1	22.7	66.1	19.36	60.85	34.9	68.624
FB1233	1	1	9.1	22.5	67.9	17.91	56.62	36	68.2435
FB1234	1	1	9.1	21.9	69.5	19.15	59.63	37.2	68.311
FB1235	2	1	9.1	22	69.8	17.18	57.55	37.4	68.2655
FB1236	1	1	9.1	21.9	70.2	18.3	58.69	35.2	67.831
FB1237	2	2	9.1	21.3	72.1	20.41	58.99	33.8	68.817
FB1238	2	2	9.1	21.6	71.1	24.71	58.86	36.5	68.4795
FB1239	1	1	9.1	21.2	75.4	19.33	60.02	36.5	68.344
FB1240	2	2	9.1	20.5	77.7	23.38	59.52	36.3	68.237
FB1241	1	1	9.1	20.7	75.4	19.01	57.85	34.6	NA
FB1242	1	2	9.1	21.3	73.7	23.24	59.52	35.3	68.4255
FB1243	2	2	9.1	20.3	80	26.47	57.17	36.6	68.364
FB1244	2	2	9.1	20.1	81.8	22.62	59.24	37.6	68.652
FB1245	1	2	9.1	19.9	82.5	21.71	58.9	35.1	68.626
FB1246	1	1	9.1	20	82.5	19.86	58.35	34.3	NA
FB1247	2	1	9.1	20.1	81.4	19.35	57.68	35.9	68.3545
FB1250	2	1	9.1	21.4	69.7	20.45	58.58	35.8	68.5875
JH5008	1	2	9.2	16.1	100	24.23	57.84	36.7	68.226
